,Crop,Production
0,Arhar/Tur,118120.0
1,Bajra,78100.0
2,Barley,1393000.0
3,Cotton(lint),34634200.0
4,Gram,97300.0
5,Groundnut,76500.0
6,Guar seed,369740.0
7,Jowar,400.0
8,Linseed,1700.0
9,Maize,10150400.0
10,Masoor,30979.0
11,Moong(Green Gram),279490.0
12,Moth,1800.0
13,Other Rabi pulses,6300.0
14,Peas & beans (Pulses),48620.0
15,Rapeseed &Mustard,1012100.0
16,Rice,243042000.0
17,Sesamum,71410.0
18,Sugarcane,125639000.0
19,Sunflower,96600.0
20,Urad,30350.0
21,Wheat,364370000.0
22,other oilseeds,3300.0
